Date,Description,Category,Amount,Balance
2025-08-01,Paycheck Direct Deposit,Income,2500.00,2500.00
2025-08-02,Starbucks,Coffee,-5.75,2494.25
2025-08-02,Uber Ride,Uber,-18.40,2475.85
2025-08-03,Trader Joe's,Groceries,-62.30,2413.55
2025-08-04,Chipotle,Eating Out,-14.25,2399.30
2025-08-05,Venmo from Alex,Income,50.00,2449.30
2025-08-06,Zelle from Mom,Income,100.00,2549.30
2025-08-07,Blue Bottle Coffee,Coffee,-7.25,2542.05
2025-08-08,Uber Ride,Uber,-21.60,2520.45
2025-08-08,The Tipsy Tavern,Going Out,-75.00,2445.45
2025-08-08,Late Night Pizza,Eating Out,-28.50,2416.95
2025-08-09,Whole Foods,Groceries,-85.10,2331.85
2025-08-10,Restaurant Dinner,Eating Out,-42.75,2289.10
2025-08-11,Netflix Subscription,Subscription,-15.99,2273.11
2025-08-12,Paycheck Direct Deposit,Income,2500.00,4773.11
2025-08-13,Starbucks,Coffee,-6.15,4766.96
2025-08-13,Uber Ride,Uber,-12.80,4754.16
2025-08-14,Trader Joe's,Groceries,-75.40,4678.76
2025-08-15,Venmo from Jamie,Income,30.00,4708.76
2025-08-15,Apple iCloud Storage,Subscription,-0.99,4707.77
2025-08-15,The Local Pub,Going Out,-65.00,4642.77
2025-08-15,Club Entry,Entertainment,-40.00,4602.77
2025-08-15,Uber Ride,Uber,-22.50,4580.27
2025-08-16,Restaurant Lunch,Eating Out,-24.50,4555.77
2025-08-17,Zelle from Dad,Income,150.00,4705.77
2025-08-18,Peet's Coffee,Coffee,-5.95,4699.82
2025-08-18,Uber Ride,Uber,-17.20,4682.62
2025-08-19,Whole Foods,Groceries,-92.30,4590.32
2025-08-20,Restaurant Dinner,Eating Out,-38.00,4552.32
2025-08-20,Amazon Prime,Subscription,-14.99,4537.33
2025-08-21,Spotify Premium,Subscription,-9.99,4527.34
2025-08-22,New York Times Digital,Subscription,-6.99,4520.35
2025-08-22,Happy Hour Drinks,Going Out,-48.00,4472.35
2025-08-22,Uber Ride,Uber,-19.75,4452.60
2025-08-22,Midnight Tacos,Eating Out,-22.50,4430.10
2025-08-23,Canva Pro Trial,Subscription,-12.99,4417.11
2025-08-24,Adobe Creative Cloud,Subscription,-54.99,4362.12
2025-08-25,Dropbox Plus,Subscription,-11.99,4350.13
2025-08-26,Peacock TV,Subscription,-4.99,4345.14
2025-08-27,Hulu Free Trial,Subscription,0.00,4345.14
2025-08-28,Starbucks,Coffee,-5.95,4339.19
2025-08-29,Trader Joe's,Groceries,-82.10,4257.09
2025-08-29,Bar Drinks,Going Out,-95.00,4162.09
2025-08-29,Club Cover,Entertainment,-25.00,4137.09
2025-08-29,Late Night Diner,Eating Out,-34.50,4102.59
2025-08-30,Restaurant Dinner,Eating Out,-40.00,4062.59
2025-08-31,LinkedIn Premium Trial,Subscription,-29.99,4032.60
2025-08-31,Rent,Housing,-1200.00,2832.60
2025-08-31,Electricity Bill,Utilities,-120.50,2712.10
2025-08-31,Gas Bill,Utilities,-65.20,2646.90
2025-09-03,Hulu Subscription,Subscription,-14.99,2631.91
